epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,72.6961,0.58857,0.52647,0.85611,0.99359,1,0.995,0.80932,0.68992,0.45855,0.84395,0.00105638,0.00105638,0.00105638
76,73.6115,0.59107,0.53194,0.87863,0.99466,1,0.995,0.82727,0.66774,0.44836,0.83587,0.00104813,0.00104813,0.00104813
77,74.5259,0.59264,0.50172,0.88091,0.99578,1,0.995,0.83437,0.66747,0.43242,0.83649,0.00103987,0.00103987,0.00103987
78,75.6138,0.5528,0.5171,0.84572,0.99637,1,0.995,0.82315,0.67025,0.43973,0.83944,0.00103162,0.00103162,0.00103162
79,76.5471,0.56455,0.51162,0.88051,0.99622,1,0.995,0.82957,0.68553,0.42621,0.8454,0.00102337,0.00102337,0.00102337
80,77.4538,0.55985,0.54408,0.87459,0.99593,1,0.995,0.83186,0.69534,0.4333,0.8516,0.00101512,0.00101512,0.00101512
81,78.3867,0.57745,0.52144,0.89028,0.99598,1,0.995,0.83436,0.68846,0.4488,0.85086,0.00100687,0.00100687,0.00100687
82,79.2963,0.58382,0.52303,0.87981,0.99359,1,0.995,0.81491,0.69619,0.46784,0.84673,0.000998616,0.000998616,0.000998616
83,80.2044,0.55668,0.50261,0.86893,0.99015,1,0.995,0.82232,0.69507,0.47987,0.84751,0.000990365,0.000990365,0.000990365
84,81.1304,0.58472,0.5047,0.8609,0.99241,1,0.995,0.81983,0.68552,0.47874,0.8457,0.000982113,0.000982113,0.000982113
85,82.0483,0.54067,0.45891,0.86966,0.99587,1,0.995,0.83015,0.67969,0.46936,0.83641,0.000973861,0.000973861,0.000973861
86,82.938,0.56761,0.47065,0.86789,0.99501,1,0.995,0.83744,0.6773,0.47013,0.83541,0.00096561,0.00096561,0.00096561
87,83.8436,0.56544,0.46425,0.86407,0.99299,1,0.995,0.83466,0.66069,0.45866,0.83303,0.000957358,0.000957358,0.000957358
88,84.7988,0.55582,0.49624,0.87149,0.99242,1,0.995,0.81417,0.68036,0.45813,0.8396,0.000949106,0.000949106,0.000949106
89,85.7146,0.56003,0.45745,0.84303,0.99342,1,0.995,0.81026,0.69284,0.4571,0.84245,0.000940855,0.000940855,0.000940855
90,86.6261,0.56021,0.49077,0.87474,0.99604,1,0.995,0.82674,0.68617,0.4252,0.83706,0.000932603,0.000932603,0.000932603
91,87.547,0.52808,0.44621,0.8315,0.99588,1,0.995,0.83441,0.67205,0.41477,0.83205,0.000924352,0.000924352,0.000924352
92,88.4835,0.54237,0.4729,0.87379,0.99576,1,0.995,0.82903,0.67908,0.41531,0.83634,0.0009161,0.0009161,0.0009161
93,89.404,0.55051,0.43138,0.86431,0.99594,1,0.995,0.82681,0.67666,0.42792,0.8374,0.000907848,0.000907848,0.000907848
94,90.3953,0.50963,0.44352,0.85888,0.99653,1,0.995,0.82801,0.6742,0.41879,0.8347,0.000899597,0.000899597,0.000899597
95,91.3481,0.55108,0.46897,0.85606,0.99623,1,0.995,0.82763,0.67237,0.40651,0.83461,0.000891345,0.000891345,0.000891345
96,92.2861,0.53117,0.44527,0.88158,0.99554,1,0.995,0.82996,0.65923,0.41361,0.83482,0.000883093,0.000883093,0.000883093
97,93.3181,0.55854,0.46154,0.86288,0.99571,1,0.995,0.84187,0.65344,0.41715,0.83181,0.000874842,0.000874842,0.000874842
98,94.2363,0.55125,0.44163,0.85899,0.99437,1,0.995,0.82793,0.65888,0.40763,0.8318,0.00086659,0.00086659,0.00086659
99,95.1431,0.53952,0.44943,0.86332,0.99422,1,0.995,0.84552,0.66011,0.40267,0.83006,0.000858338,0.000858338,0.000858338
100,96.0306,0.51286,0.39436,0.83654,0.99327,1,0.995,0.85367,0.65386,0.41398,0.82707,0.000850087,0.000850087,0.000850087
101,96.9393,0.56909,0.43308,0.87061,0.99351,1,0.995,0.84613,0.65429,0.4177,0.83074,0.000841835,0.000841835,0.000841835
102,97.8384,0.50284,0.41644,0.86075,0.99479,1,0.995,0.85585,0.65376,0.40649,0.83087,0.000833583,0.000833583,0.000833583
103,98.7484,0.54217,0.4557,0.85663,0.99659,1,0.995,0.83865,0.66216,0.41402,0.83189,0.000825332,0.000825332,0.000825332
104,99.6747,0.52766,0.45596,0.8462,0.99508,1,0.995,0.82641,0.67857,0.42477,0.83602,0.00081708,0.00081708,0.00081708
105,100.573,0.5371,0.4597,0.86204,0.99441,1,0.995,0.80943,0.69469,0.4229,0.84232,0.000808828,0.000808828,0.000808828
106,101.467,0.52494,0.44928,0.85745,0.99598,1,0.995,0.79705,0.70874,0.42283,0.84811,0.000800577,0.000800577,0.000800577
107,102.362,0.56389,0.48348,0.87373,0.99535,1,0.995,0.81979,0.70414,0.40513,0.84494,0.000792325,0.000792325,0.000792325
108,103.269,0.55062,0.44894,0.88673,0.99432,1,0.995,0.81289,0.6874,0.38978,0.83812,0.000784073,0.000784073,0.000784073
109,104.159,0.51079,0.40647,0.84164,0.99341,1,0.995,0.81407,0.67432,0.38368,0.83674,0.000775822,0.000775822,0.000775822
110,105.061,0.5303,0.42709,0.86616,0.99422,1,0.995,0.83626,0.6716,0.3935,0.83683,0.00076757,0.00076757,0.00076757
111,105.961,0.52165,0.43518,0.85636,0.99614,1,0.995,0.83097,0.6698,0.41146,0.83955,0.000759318,0.000759318,0.000759318
112,106.857,0.52337,0.43305,0.8658,0.9946,1,0.995,0.8199,0.67353,0.40638,0.8402,0.000751067,0.000751067,0.000751067
113,107.819,0.50297,0.41673,0.85434,0.99301,1,0.995,0.81939,0.67808,0.40507,0.83646,0.000742815,0.000742815,0.000742815
114,108.826,0.52352,0.43631,0.86375,0.99271,1,0.995,0.82377,0.68385,0.41339,0.83673,0.000734564,0.000734564,0.000734564
115,109.723,0.50207,0.43871,0.85786,0.99477,1,0.995,0.84654,0.67708,0.40414,0.83661,0.000726312,0.000726312,0.000726312
116,110.636,0.52878,0.44357,0.86414,0.99499,1,0.995,0.84452,0.66936,0.38766,0.83397,0.00071806,0.00071806,0.00071806
117,111.538,0.47672,0.42119,0.85912,0.99342,1,0.995,0.85003,0.65309,0.38271,0.83171,0.000709809,0.000709809,0.000709809
118,112.446,0.4812,0.41967,0.84927,0.99224,1,0.995,0.85095,0.64887,0.38259,0.83423,0.000701557,0.000701557,0.000701557
119,113.334,0.51951,0.42247,0.8508,0.99175,1,0.995,0.85339,0.65088,0.38273,0.83459,0.000693305,0.000693305,0.000693305
120,114.238,0.50771,0.42883,0.8682,0.99299,1,0.995,0.84794,0.6512,0.38311,0.83555,0.000685054,0.000685054,0.000685054
121,115.167,0.50053,0.44289,0.84879,0.99583,1,0.995,0.84693,0.66223,0.39624,0.84015,0.000676802,0.000676802,0.000676802
122,116.114,0.50649,0.39954,0.85637,0.98937,1,0.995,0.84706,0.6641,0.40814,0.84218,0.00066855,0.00066855,0.00066855
123,117.014,0.52153,0.43303,0.8572,0.98767,1,0.995,0.84574,0.67472,0.40308,0.84506,0.000660299,0.000660299,0.000660299
124,117.913,0.51501,0.4226,0.85197,0.98917,1,0.995,0.83774,0.68525,0.39493,0.84819,0.000652047,0.000652047,0.000652047
125,118.831,0.49979,0.44375,0.84584,0.99301,1,0.995,0.84562,0.66907,0.37898,0.8437,0.000643795,0.000643795,0.000643795
126,119.813,0.5188,0.4123,0.84763,0.99576,1,0.995,0.8366,0.65223,0.36585,0.83742,0.000635544,0.000635544,0.000635544
127,120.866,0.47841,0.38785,0.84622,0.99513,1,0.995,0.83867,0.64961,0.37019,0.83493,0.000627292,0.000627292,0.000627292
128,121.884,0.51197,0.40858,0.87671,0.9942,1,0.995,0.83602,0.65851,0.37527,0.83451,0.00061904,0.00061904,0.00061904
129,123.284,0.48833,0.38456,0.84029,0.99448,1,0.995,0.82679,0.66415,0.39036,0.83418,0.000610789,0.000610789,0.000610789
130,124.348,0.48774,0.38374,0.83157,0.99435,1,0.995,0.83283,0.67802,0.40749,0.84047,0.000602537,0.000602537,0.000602537
131,125.783,0.49934,0.37176,0.82169,0.99372,1,0.995,0.83325,0.68598,0.3915,0.84315,0.000594286,0.000594286,0.000594286
132,127.056,0.47234,0.39164,0.83631,0.99249,1,0.995,0.8392,0.68116,0.38041,0.83862,0.000586034,0.000586034,0.000586034
